model,dataset,persona,layer,logit_lens_accuracy,mean_margin_correct_minus_wrong,n_questions,train_n,split_mode,split_seed,eval_n,option_token_id_mode,opt1_token_id,opt2_token_id
olmo-7b,TruthfulQA,race:Black,31,0.6985294117647058,0.36077626816490116,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,0,0.4852941176470588,-0.0162484160825318,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,1,0.4852941176470588,-0.005340361712025661,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,2,0.4852941176470588,-0.000698696529748393,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,3,0.5147058823529411,0.008295303685408012,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,4,0.5147058823529411,0.009895532154569439,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,5,0.5147058823529411,0.015588532183684554,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,6,0.5147058823529411,0.01852354232002707,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,7,0.5147058823529411,0.017204256107409794,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,8,0.5147058823529411,0.02034958714947981,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,9,0.5147058823529411,0.023239148013732013,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,10,0.5147058823529411,0.021206619546693915,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,11,0.5147058823529411,0.01592831109084335,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,12,0.5147058823529411,0.011027228014141905,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,13,0.5147058823529411,0.020962073011141197,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,14,0.5147058823529411,0.01932918543324751,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,15,0.5147058823529411,0.02968909328474718,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,16,0.5147058823529411,0.04057038955244364,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,17,0.5808823529411765,0.10023611053532246,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,18,0.6740196078431373,0.28219692533214885,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,19,0.6568627450980392,0.27534208001167165,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,20,0.6617647058823529,0.2728327364459926,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,21,0.7083333333333334,0.3842841103380802,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,22,0.696078431372549,0.3874969894395155,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,23,0.7181372549019608,0.4102746613469778,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,24,0.7156862745098039,0.40671783539594386,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,25,0.7132352941176471,0.4063347949847287,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,26,0.7156862745098039,0.4052516412647331,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,27,0.7107843137254902,0.3965887341137026,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,28,0.7058823529411765,0.4033101404122278,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,29,0.7107843137254902,0.40378692380937875,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,30,0.7058823529411765,0.39701711145393986,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Asian,31,0.7058823529411765,0.38417960308930454,408,409,shuffle,20,408,1/2,16,17
